"","FORPORT_NAME","PORT","PORT_NAME","Year","TYPE_PROC","STATE","FORPORT.x","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","Country Name","For_Lat","For_Lon"
"1054","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",6021,"Australia",70,"All Manufactured Equipment, Machinery and Products",78583,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1055","Bremerhaven",2417,"Galveston, TX","2016","Export","TX",42870,"4280","Germany",4280,"Germany",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",128,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,42870,"Germany",53.546,8.56
"1056","Bremerhaven",2417,"Galveston, TX","2016","Export","TX",42870,"4280","Germany",7830,"Tanzania",70,"All Manufactured Equipment, Machinery and Products",3878,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,42870,"Germany",53.546,8.56
"1057","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4351,"Czech Republic",70,"All Manufactured Equipment, Machinery and Products",78583,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1058","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4490,"Latvia",32,"Other Chemicals and Related Products",2361,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1059","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4351,"Czech Republic",99,"Unknown or Not Elsewhere Classified",16854,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1060","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4120,"United Kingdom",99,"Unknown or Not Elsewhere Classified",16854,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1061","Bremerhaven",2017,"Jacksonville, FL","2016","Export","FL",42870,"4280","Germany",4621,"Russia",70,"All Manufactured Equipment, Machinery and Products",5720,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,42870,"Germany",53.546,8.56
"1062","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4280,"Germany",70,"All Manufactured Equipment, Machinery and Products",78583,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1063","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4470,"Estonia",70,"All Manufactured Equipment, Machinery and Products",78583,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1064","Bremerhaven",2017,"Jacksonville, FL","2016","Export","FL",42870,"4280","Germany",4280,"Germany",32,"Other Chemicals and Related Products",2,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,42870,"Germany",53.546,8.56
"1065","Bremerhaven",2017,"Jacksonville, FL","2016","Export","FL",42870,"4280","Germany",4890,"Turkey",70,"All Manufactured Equipment, Machinery and Products",5720,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,42870,"Germany",53.546,8.56
"1066","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4550,"Poland",99,"Unknown or Not Elsewhere Classified",16854,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1067","Bremerhaven",2417,"Galveston, TX","2016","Export","TX",42870,"4280","Germany",4280,"Germany",51,"Paper & Allied Products",5,"Gulf of Mexico","Wood and Wood Products",29.3124683918919,-94.8089730675676,42870,"Germany",53.546,8.56
"1068","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4010,"Sweden",52,"Building Cement & Concrete; Lime; Glass",154,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1069","Bremerhaven",2017,"Jacksonville, FL","2016","Export","FL",42870,"4280","Germany",2830,"French West Indies",70,"All Manufactured Equipment, Machinery and Products",5720,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,42870,"Germany",53.546,8.56
"1070","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",78583,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1071","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",5820,"Hong Kong",70,"All Manufactured Equipment, Machinery and Products",78583,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1072","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4010,"Sweden",23,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",15,"North Atlantic","Coal, Oil, and Petrochemicals",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1073","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",5820,"Hong Kong",99,"Unknown or Not Elsewhere Classified",16854,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1074","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",7790,"Kenya",99,"Unknown or Not Elsewhere Classified",16854,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1075","Bremerhaven",2417,"Galveston, TX","2016","Export","TX",42870,"4280","Germany",4039,"Norway",70,"All Manufactured Equipment, Machinery and Products",3878,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,42870,"Germany",53.546,8.56
"1076","Bremerhaven",2417,"Galveston, TX","2016","Export","TX",42870,"4280","Germany",4039,"Norway",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",25,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,42870,"Germany",53.546,8.56
"1077","Bremerhaven",2017,"Jacksonville, FL","2016","Export","FL",42870,"4280","Germany",4039,"Norway",70,"All Manufactured Equipment, Machinery and Products",5720,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,42870,"Germany",53.546,8.56
"1078","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4210,"Netherlands",44,"Iron Ore and Iron & Steel Waste & Scrap",194,"North Atlantic","Ore, Rock and Minerals",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1079","Bremerhaven",2417,"Galveston, TX","2016","Export","TX",42870,"4280","Germany",7770,"Djibouti",70,"All Manufactured Equipment, Machinery and Products",3878,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,42870,"Germany",53.546,8.56
"1080","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4810,"Albania",70,"All Manufactured Equipment, Machinery and Products",78583,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1081","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4370,"Hungary",99,"Unknown or Not Elsewhere Classified",16854,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1082","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4351,"Czech Republic",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",2488,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1083","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4039,"Norway",99,"Unknown or Not Elsewhere Classified",16854,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1084","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4351,"Czech Republic",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",702,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1085","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4280,"Germany",47,"Sulphur (Dry), Clay & Salt",1354,"North Atlantic","Ore, Rock and Minerals",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1086","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4010,"Sweden",99,"Unknown or Not Elsewhere Classified",16854,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1087","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4050,"Finland",68,"Other Agricultural Products; Food and Kindred Products",302,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1088","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",5250,"Bahrain",70,"All Manufactured Equipment, Machinery and Products",78583,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1089","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4280,"Germany",52,"Building Cement & Concrete; Lime; Glass",154,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1090","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",6410,"French Pacific Is",70,"All Manufactured Equipment, Machinery and Products",78583,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1091","Bremerhaven",700,"Baltimore, MD","2016","Export","MD",42870,"4280","Germany",4099,"Denmark",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",2488,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
