"","Port_Country","PORT","PORT_NAME","YEAR","TYPE_PROC","STATE","FORPORT","FORPORT_NAME","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","FORPORT_NAME.y","CTRY_F_NAME.y","For_Lat","For_Lon"
"1","Aabenraa Denmark",2017,"Jacksonville, FL","2017","Import","FL",40901,"Aabenraa","4099","Denmark",3010,"Colombia",70,"All Manufactured Equipment, Machinery and Products",282,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,40901,"Aabenraa","Denmark",55.034,9.433
"2","Aalesund Norway",700,"Baltimore, MD","2017","Import","MD",40301,"Aalesund","4039","Norway",4039,"Norway",31,"Fertilizers",29983,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,40301,"Aalesund","Norway",62.466,6.17
"3","Aalesund Norway",700,"Baltimore, MD","2017","Import","MD",40301,"Aalesund","4039","Norway",4039,"Norway",29,"Petroleum Products NEC",5512,"North Atlantic","Coal, Oil, and Petrochemicals",39.2406340648148,-76.5608341388889,40301,"Aalesund","Norway",62.466,6.17
"4","Abu Dhabi United Arab Em",700,"Baltimore, MD","2017","Import","MD",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",429,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"5","Abu Dhabi United Arab Em",2017,"Jacksonville, FL","2017","Import","FL",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",70,"All Manufactured Equipment, Machinery and Products",7,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"6","Abu Dhabi United Arab Em",2017,"Jacksonville, FL","2017","Import","FL",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",366,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"7","Abu Dhabi United Arab Em",766,"Wilmington, NC","2017","Import","NC",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",70,"All Manufactured Equipment, Machinery and Products",3,"South Atlantic","Industrial goods",34.2029665882353,-77.9545586470588,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"8","Abu Dhabi United Arab Em",700,"Baltimore, MD","2017","Import","MD",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",70,"All Manufactured Equipment, Machinery and Products",29,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"9","Acajutla El Salvador",700,"Baltimore, MD","2017","Import","MD",21101,"Acajutla","2110","El Salvador",2110,"El Salvador",68,"Other Agricultural Products; Food and Kindred Products",34679,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,21101,"Acajutla","El Salvador",13.57766,-89.83746
"10","Acajutla El Salvador",700,"Baltimore, MD","2017","Import","MD",21101,"Acajutla","2110","El Salvador",2190,"Nicaragua",68,"Other Agricultural Products; Food and Kindred Products",34679,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,21101,"Acajutla","El Salvador",13.57766,-89.83746
