"","Port_Country","PORT","PORT_NAME","YEAR","TYPE_PROC","STATE","FORPORT","FORPORT_NAME","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","FORPORT_NAME.y","CTRY_F_NAME.y","For_Lat","For_Lon"
"1","Aalesund Norway",700,"Baltimore, MD","2015","Import","MD",40301,"Aalesund","4039","Norway",4039,"Norway",31,"Fertilizers",7165,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,40301,"Aalesund","Norway",62.466,6.17
"2","Aalesund Norway",700,"Baltimore, MD","2015","Import","MD",40301,"Aalesund","4039","Norway",4039,"Norway",32,"Other Chemicals and Related Products",10594,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,40301,"Aalesund","Norway",62.466,6.17
"3","Aalesund Norway",700,"Baltimore, MD","2015","Import","MD",40301,"Aalesund","4039","Norway",4039,"Norway",29,"Petroleum Products NEC",5512,"North Atlantic","Coal, Oil, and Petrochemicals",39.2406340648148,-76.5608341388889,40301,"Aalesund","Norway",62.466,6.17
"4","Abu Dhabi United Arab Em",700,"Baltimore, MD","2015","Import","MD",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",2,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"5","Abu Dhabi United Arab Em",700,"Baltimore, MD","2015","Import","MD",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",70,"All Manufactured Equipment, Machinery and Products",7,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"6","Acajutla El Salvador",700,"Baltimore, MD","2015","Import","MD",21101,"Acajutla","2110","El Salvador",2110,"El Salvador",70,"All Manufactured Equipment, Machinery and Products",1,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,21101,"Acajutla","El Salvador",13.57766,-89.83746
"7","Acajutla El Salvador",700,"Baltimore, MD","2015","Import","MD",21101,"Acajutla","2110","El Salvador",2110,"El Salvador",32,"Other Chemicals and Related Products",9919,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,21101,"Acajutla","El Salvador",13.57766,-89.83746
"8","Acajutla El Salvador",700,"Baltimore, MD","2015","Import","MD",21101,"Acajutla","2110","El Salvador",2110,"El Salvador",68,"Other Agricultural Products; Food and Kindred Products",61333,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,21101,"Acajutla","El Salvador",13.57766,-89.83746
"9","Agadir Morocco",2017,"Jacksonville, FL","2015","Import","FL",71403,"Agadir","7140","Morocco",7140,"Morocco",23,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",6,"South Atlantic","Coal, Oil, and Petrochemicals",30.3683817857143,-81.5721939428571,71403,"Agadir","Morocco",30.42078,-9.62928
"10","Agadir Morocco",2017,"Jacksonville, FL","2015","Import","FL",71403,"Agadir","7140","Morocco",7140,"Morocco",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",4,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,71403,"Agadir","Morocco",30.42078,-9.62928
"11","Agadir Morocco",2017,"Jacksonville, FL","2015","Import","FL",71403,"Agadir","7140","Morocco",7140,"Morocco",32,"Other Chemicals and Related Products",11,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,71403,"Agadir","Morocco",30.42078,-9.62928
"12","Agadir Morocco",2017,"Jacksonville, FL","2015","Import","FL",71403,"Agadir","7140","Morocco",7140,"Morocco",99,"Unknown or Not Elsewhere Classified",116,"South Atlantic","Other Goods",30.3683817857143,-81.5721939428571,71403,"Agadir","Morocco",30.42078,-9.62928
"13","Agadir Morocco",2017,"Jacksonville, FL","2015","Import","FL",71403,"Agadir","7140","Morocco",7140,"Morocco",70,"All Manufactured Equipment, Machinery and Products",817,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,71403,"Agadir","Morocco",30.42078,-9.62928
"14","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3310,"Ecuador",61,"Fish",20,"North Atlantic","Fish and Marine Goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"15","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5800,"Korea, South",66,"Vegetable Products",141,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"16","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5800,"Korea, South",70,"All Manufactured Equipment, Machinery and Products",1389,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"17","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",2190,"Nicaragua",68,"Other Agricultural Products; Food and Kindred Products",4507,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"18","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3330,"Peru",51,"Paper & Allied Products",43,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"19","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5700,"China",68,"Other Agricultural Products; Food and Kindred Products",4507,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"20","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5700,"China",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",536,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"21","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",2250,"Panama",70,"All Manufactured Equipment, Machinery and Products",1389,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"22","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5700,"China",51,"Paper & Allied Products",43,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"23","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",2250,"Panama",52,"Building Cement & Concrete; Lime; Glass",6,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"24","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3310,"Ecuador",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",536,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"25","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3330,"Peru",70,"All Manufactured Equipment, Machinery and Products",1389,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"26","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5700,"China",32,"Other Chemicals and Related Products",21,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"27","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3310,"Ecuador",32,"Other Chemicals and Related Products",21,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"28","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5800,"Korea, South",67,"Animal Feed, Grain Mill Products, Flour, Processed Grains",78,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"29","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",2250,"Panama",99,"Unknown or Not Elsewhere Classified",98,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"30","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5700,"China",41,"Forest Products, Lumber, Logs, Woodchips",1779,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"31","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",2250,"Panama",66,"Vegetable Products",141,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"32","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",2050,"Guatemala",68,"Other Agricultural Products; Food and Kindred Products",4507,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"33","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5800,"Korea, South",41,"Forest Products, Lumber, Logs, Woodchips",1779,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"34","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3310,"Ecuador",68,"Other Agricultural Products; Food and Kindred Products",4507,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"35","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3310,"Ecuador",66,"Vegetable Products",141,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"36","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3310,"Ecuador",55,"Primary Wood Products; Veneer; Plywood",2656,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"37","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5700,"China",67,"Animal Feed, Grain Mill Products, Flour, Processed Grains",78,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"38","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3330,"Peru",66,"Vegetable Products",141,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"39","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3310,"Ecuador",99,"Unknown or Not Elsewhere Classified",98,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"40","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5700,"China",70,"All Manufactured Equipment, Machinery and Products",1389,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"41","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5800,"Korea, South",99,"Unknown or Not Elsewhere Classified",98,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"42","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",2250,"Panama",41,"Forest Products, Lumber, Logs, Woodchips",1779,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"43","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3310,"Ecuador",70,"All Manufactured Equipment, Machinery and Products",1389,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"44","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5700,"China",66,"Vegetable Products",141,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"45","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5700,"China",99,"Unknown or Not Elsewhere Classified",98,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"46","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5700,"China",55,"Primary Wood Products; Veneer; Plywood",2656,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"47","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3330,"Peru",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",536,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"48","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5700,"China",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",106,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"49","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",3310,"Ecuador",41,"Forest Products, Lumber, Logs, Woodchips",1779,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"50","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5800,"Korea, South",68,"Other Agricultural Products; Food and Kindred Products",4507,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"51","Aguadulce Panama",700,"Baltimore, MD","2015","Import","MD",22581,"Aguadulce","2250","Panama",5800,"Korea, South",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",106,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,22581,"Aguadulce","Panama",8.23333,-80.5
"52","Al Basrah Iraq",2416,"Port Arthur, TX","2015","Import","TX",50525,"Al Basrah","5050","Iraq",5050,"Iraq",21,"Crude Petroleum",79709,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.893605027027,-93.920496972973,50525,"Al Basrah","Iraq",30.51142,47.84966
"53","Al Fuhayhil Kuwait",2417,"Galveston, TX","2015","Import","TX",51323,"Al Fuhayhil","5130","Kuwait",5130,"Kuwait",70,"All Manufactured Equipment, Machinery and Products",2,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,51323,"Al Fuhayhil","Kuwait",29.0608,48.15427
"54","Al Jubail Saudi Arabia",766,"Wilmington, NC","2015","Import","NC",51720,"Al Jubail","5170","Saudi Arabia",5170,"Saudi Arabia",32,"Other Chemicals and Related Products",48000,"South Atlantic","Industrial goods",34.2029665882353,-77.9545586470588,51720,"Al Jubail","Saudi Arabia",27.01669,49.66032
"55","Al Jubail Saudi Arabia",2417,"Galveston, TX","2015","Import","TX",51720,"Al Jubail","5170","Saudi Arabia",5170,"Saudi Arabia",31,"Fertilizers",47272,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,51720,"Al Jubail","Saudi Arabia",27.01669,49.66032
"56","Alert Bay, BC Canada",4340,"Redwood City, CA","2015","Import","CA",12203,"Alert Bay, BC","1220","Canada",1220,"Canada",43,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material",1265932,"South Pacific","Ore, Rock and Minerals",37.5123683333333,-122.2092355,12203,"Alert Bay, BC","Canada",50.58333,-126.933333
"57","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",7530,"Nigeria",41,"Forest Products, Lumber, Logs, Woodchips",1299,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"58","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",7640,"Western Africa, Nec",70,"All Manufactured Equipment, Machinery and Products",9213,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"59","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",4700,"Spain",52,"Building Cement & Concrete; Lime; Glass",562,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"60","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",7290,"Egypt",70,"All Manufactured Equipment, Machinery and Products",9213,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"61","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",4850,"Romania",41,"Forest Products, Lumber, Logs, Woodchips",1299,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"62","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",4700,"Spain",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",1473,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"63","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",4890,"Turkey",65,"Oilseeds (Soybean, Flaxseed and Others)",2085,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"64","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",5330,"India",32,"Other Chemicals and Related Products",2670,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"65","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",7530,"Nigeria",66,"Vegetable Products",17868,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"66","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",4700,"Spain",64,"Barley, Rye, Oats, Rice and Sorghum Grains",711,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"67","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",7290,"Egypt",66,"Vegetable Products",17868,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"68","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",4890,"Turkey",32,"Other Chemicals and Related Products",2670,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"69","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",5420,"Sri Lanka",52,"Building Cement & Concrete; Lime; Glass",562,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"70","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",4870,"Bulgaria",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",8702,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"71","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",7480,"Ivory Coast",99,"Unknown or Not Elsewhere Classified",3998,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"72","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",5700,"China",99,"Unknown or Not Elsewhere Classified",3998,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"73","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",7920,"Namibia",70,"All Manufactured Equipment, Machinery and Products",9213,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"74","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",7770,"Djibouti",68,"Other Agricultural Products; Food and Kindred Products",2701,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"75","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",7420,"Cameroon",70,"All Manufactured Equipment, Machinery and Products",9213,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"76","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",4700,"Spain",70,"All Manufactured Equipment, Machinery and Products",9213,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"77","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",7780,"Uganda",65,"Oilseeds (Soybean, Flaxseed and Others)",2085,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
"78","Algeciras Spain",700,"Baltimore, MD","2015","Import","MD",47031,"Algeciras","4700","Spain",7660,"Congo (Kinshasa)",99,"Unknown or Not Elsewhere Classified",3998,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,47031,"Algeciras","Spain",36.12631,-5.44355
