"","Port_Country","PORT","PORT_NAME","YEAR","TYPE_PROC","STATE","FORPORT","FORPORT_NAME","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","FORPORT_NAME.y","CTRY_F_NAME.y","For_Lat","For_Lon"
"1","Aardal Norway",2416,"Port Arthur, TX","2015","Export","TX",40302,"Aardal","4039","Norway",4039,"Norway",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",8378,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.893605027027,-93.920496972973,40302,"Aardal","Norway",61.234,7.707
"2","Aarhus Denmark",2017,"Jacksonville, FL","2015","Export","FL",40906,"Aarhus","4099","Denmark",4099,"Denmark",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",43,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,40906,"Aarhus","Denmark",56.161,10.24
"3","Aarhus Denmark",700,"Baltimore, MD","2015","Export","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",55,"Primary Wood Products; Veneer; Plywood",72,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
"4","Aarhus Denmark",700,"Baltimore, MD","2015","Export","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",68,"Other Agricultural Products; Food and Kindred Products",27,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
"5","Aarhus Denmark",700,"Baltimore, MD","2015","Export","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",41,"Forest Products, Lumber, Logs, Woodchips",88,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
"6","Aarhus Denmark",700,"Baltimore, MD","2015","Export","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",99,"Unknown or Not Elsewhere Classified",3,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
"7","Aarhus Denmark",700,"Baltimore, MD","2015","Export","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",9,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
"8","Aarhus Denmark",2017,"Jacksonville, FL","2015","Export","FL",40906,"Aarhus","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",23,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,40906,"Aarhus","Denmark",56.161,10.24
"9","Abu Dhabi United Arab Em",766,"Wilmington, NC","2015","Export","NC",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",32,"Other Chemicals and Related Products",167,"South Atlantic","Industrial goods",34.2029665882353,-77.9545586470588,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"10","Abu Dhabi United Arab Em",700,"Baltimore, MD","2015","Export","MD",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",43,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material",75,"North Atlantic","Ore, Rock and Minerals",39.2406340648148,-76.5608341388889,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
