"","Port_Country","PORT","PORT_NAME","YEAR","TYPE_PROC","STATE","FORPORT","FORPORT_NAME","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","FORPORT_NAME.y","CTRY_F_NAME.y","For_Lat","For_Lon"
"1","Aalborg Denmark",2416,"Port Arthur, TX","2014","Export","TX",40903,"Aalborg","4099","Denmark",4099,"Denmark",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",15990,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.893605027027,-93.920496972973,40903,"Aalborg","Denmark",57.052,9.925
"2","Aalesund Norway",2017,"Jacksonville, FL","2014","Export","FL",40301,"Aalesund","4039","Norway",4039,"Norway",70,"All Manufactured Equipment, Machinery and Products",33,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,40301,"Aalesund","Norway",62.466,6.17
"3","Aardal Norway",2416,"Port Arthur, TX","2014","Export","TX",40302,"Aardal","4039","Norway",4039,"Norway",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",8378,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.893605027027,-93.920496972973,40302,"Aardal","Norway",61.234,7.707
"4","Aarhus Denmark",700,"Baltimore, MD","2014","Export","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",55,"Primary Wood Products; Veneer; Plywood",96,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
"5","Aarhus Denmark",700,"Baltimore, MD","2014","Export","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",68,"Other Agricultural Products; Food and Kindred Products",66,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
"6","Aarhus Denmark",3924,"Duluth-Superior, MN and WI","2014","Export","WI",40906,"Aarhus","4099","Denmark",4099,"Denmark",67,"Animal Feed, Grain Mill Products, Flour, Processed Grains",20237,"Great Lakes","Agricultural goods",46.7497344912281,-92.0994718947368,40906,"Aarhus","Denmark",56.161,10.24
"7","Aarhus Denmark",2017,"Jacksonville, FL","2014","Export","FL",40906,"Aarhus","4099","Denmark",4099,"Denmark",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",23,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,40906,"Aarhus","Denmark",56.161,10.24
"8","Aarhus Denmark",700,"Baltimore, MD","2014","Export","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",99,"Unknown or Not Elsewhere Classified",8,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
"9","Aarhus Denmark",700,"Baltimore, MD","2014","Export","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",41,"Forest Products, Lumber, Logs, Woodchips",70,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
"10","Abu Dhabi United Arab Em",766,"Wilmington, NC","2014","Export","NC",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",99,"Unknown or Not Elsewhere Classified",103,"South Atlantic","Other Goods",34.2029665882353,-77.9545586470588,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"11","Abu Dhabi United Arab Em",2417,"Galveston, TX","2014","Export","TX",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",45,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"12","Abu Dhabi United Arab Em",700,"Baltimore, MD","2014","Export","MD",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",70,"All Manufactured Equipment, Machinery and Products",2265,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"13","Abu Dhabi United Arab Em",2017,"Jacksonville, FL","2014","Export","FL",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",99,"Unknown or Not Elsewhere Classified",17552,"South Atlantic","Other Goods",30.3683817857143,-81.5721939428571,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"14","Abu Dhabi United Arab Em",700,"Baltimore, MD","2014","Export","MD",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",52,"Building Cement & Concrete; Lime; Glass",0,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"15","Abu Dhabi United Arab Em",2017,"Jacksonville, FL","2014","Export","FL",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",70,"All Manufactured Equipment, Machinery and Products",10263,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"16","Abu Dhabi United Arab Em",700,"Baltimore, MD","2014","Export","MD",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",67,"Animal Feed, Grain Mill Products, Flour, Processed Grains",7,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"17","Abu Dhabi United Arab Em",700,"Baltimore, MD","2014","Export","MD",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",31,"Fertilizers",20,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"18","Abu Dhabi United Arab Em",2417,"Galveston, TX","2014","Export","TX",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",70,"All Manufactured Equipment, Machinery and Products",164,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"19","Abu Dhabi United Arab Em",700,"Baltimore, MD","2014","Export","MD",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",32,"Other Chemicals and Related Products",123,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"20","Abu Dhabi United Arab Em",766,"Wilmington, NC","2014","Export","NC",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",70,"All Manufactured Equipment, Machinery and Products",859,"South Atlantic","Industrial goods",34.2029665882353,-77.9545586470588,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"21","Abu Dhabi United Arab Em",2417,"Galveston, TX","2014","Export","TX",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",0,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
"22","Abu Dhabi United Arab Em",700,"Baltimore, MD","2014","Export","MD",52001,"Abu Dhabi","5200","United Arab Em",5200,"United Arab Emirates",99,"Unknown or Not Elsewhere Classified",235,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,52001,"Abu Dhabi","United Arab Em",24.5333333333333,54.3833333333333
