"","FORPORT_NAME","PORT","PORT_NAME","YEAR","TYPE_PROC","STATE","FORPORT.x","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","Country Name","For_Lat","For_Lon"
"1018","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",4280,"Germany",61,"Fish",20,"North Atlantic","Fish and Marine Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1019","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",4050,"Finland",99,"Unknown or Not Elsewhere Classified",8959,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1020","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",4210,"Netherlands",99,"Unknown or Not Elsewhere Classified",8959,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1021","Bremerhaven",2417,"Galveston, TX","2018","Export","TX",42870,"4280","Germany",4621,"Russia",68,"Other Agricultural Products; Food and Kindred Products",6766,"Gulf of Mexico","Agricultural goods",29.3124683918919,-94.8089730675676,42870,"Germany",53.546,8.56
"1022","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",4550,"Poland",68,"Other Agricultural Products; Food and Kindred Products",9068,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1023","Bremerhaven",2017,"Jacksonville, FL","2018","Export","FL",42870,"4280","Germany",4280,"Germany",32,"Other Chemicals and Related Products",8,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,42870,"Germany",53.546,8.56
"1024","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",4280,"Germany",10,"Coal,Lignite & Coal Coke",85751,"North Atlantic","Coal, Oil, and Petrochemicals",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1025","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",2830,"French West Indies",70,"All Manufactured Equipment, Machinery and Products",59618,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1026","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",4510,"Lithuania",70,"All Manufactured Equipment, Machinery and Products",59618,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1027","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",4190,"Ireland",42,"Pulp and Waste Paper",1395,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1028","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",4280,"Germany",23,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",24,"North Atlantic","Coal, Oil, and Petrochemicals",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1029","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",7470,"Sierra Leone",68,"Other Agricultural Products; Food and Kindred Products",9068,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1030","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",4550,"Poland",32,"Other Chemicals and Related Products",2572,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1031","Bremerhaven",2017,"Jacksonville, FL","2018","Export","FL",42870,"4280","Germany",4231,"Belgium",70,"All Manufactured Equipment, Machinery and Products",10944,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,42870,"Germany",53.546,8.56
"1032","Bremerhaven",2017,"Jacksonville, FL","2018","Export","FL",42870,"4280","Germany",7910,"South Africa",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",161,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,42870,"Germany",53.546,8.56
"1033","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",4210,"Netherlands",42,"Pulp and Waste Paper",1395,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1034","Bremerhaven",2017,"Jacksonville, FL","2018","Export","FL",42870,"4280","Germany",4010,"Sweden",70,"All Manufactured Equipment, Machinery and Products",10944,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,42870,"Germany",53.546,8.56
"1035","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",7910,"South Africa",70,"All Manufactured Equipment, Machinery and Products",59618,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
"1036","Bremerhaven",700,"Baltimore, MD","2018","Export","MD",42870,"4280","Germany",4280,"Germany",99,"Unknown or Not Elsewhere Classified",8959,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,42870,"Germany",53.546,8.56
