"","Port_Country","PORT","PORT_NAME","YEAR","TYPE_PROC","STATE","FORPORT","FORPORT_NAME","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","FORPORT_NAME.y","CTRY_F_NAME.y","For_Lat","For_Lon"
"1","Aalborg Denmark",2017,"Jacksonville, FL","2012","Import","FL",40903,"Aalborg","4099","Denmark",5600,"Indonesia",99,"Unknown or Not Elsewhere Classified",0,"South Atlantic","Other Goods",30.3683817857143,-81.5721939428571,40903,"Aalborg","Denmark",57.052,9.925
"2","Aalborg Denmark",2416,"Port Arthur, TX","2012","Import","TX",40903,"Aalborg","4099","Denmark",4099,"Denmark",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",3,"Gulf of Mexico","Industrial goods",29.893605027027,-93.920496972973,40903,"Aalborg","Denmark",57.052,9.925
"3","Aalborg Denmark",2416,"Port Arthur, TX","2012","Import","TX",40903,"Aalborg","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",698,"Gulf of Mexico","Industrial goods",29.893605027027,-93.920496972973,40903,"Aalborg","Denmark",57.052,9.925
"4","Aalborg Denmark",2017,"Jacksonville, FL","2012","Import","FL",40903,"Aalborg","4099","Denmark",5600,"Indonesia",70,"All Manufactured Equipment, Machinery and Products",12,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,40903,"Aalborg","Denmark",57.052,9.925
"5","Aalborg Denmark",2416,"Port Arthur, TX","2012","Import","TX",40903,"Aalborg","4099","Denmark",4099,"Denmark",99,"Unknown or Not Elsewhere Classified",0,"Gulf of Mexico","Other Goods",29.893605027027,-93.920496972973,40903,"Aalborg","Denmark",57.052,9.925
"6","Aarhus Denmark",4410,"Kahului, Maui, HI","2012","Import","HI",40906,"Aarhus","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",1254,"Hawaii","Industrial goods",20.895601,-156.466692,40906,"Aarhus","Denmark",56.161,10.24
"7","Aarhus Denmark",3924,"Duluth-Superior, MN and WI","2012","Import","WI",40906,"Aarhus","4099","Denmark",4099,"Denmark",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",336,"Great Lakes","Industrial goods",46.7497344912281,-92.0994718947368,40906,"Aarhus","Denmark",56.161,10.24
"8","Aarhus Denmark",3924,"Duluth-Superior, MN and WI","2012","Import","MN",40906,"Aarhus","4099","Denmark",4099,"Denmark",53,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.)",0,"Great Lakes","Industrial goods",46.7497344912281,-92.0994718947368,40906,"Aarhus","Denmark",56.161,10.24
"9","Aarhus Denmark",3924,"Duluth-Superior, MN and WI","2012","Import","MN",40906,"Aarhus","4099","Denmark",4099,"Denmark",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",336,"Great Lakes","Industrial goods",46.7497344912281,-92.0994718947368,40906,"Aarhus","Denmark",56.161,10.24
"10","Aarhus Denmark",3924,"Duluth-Superior, MN and WI","2012","Import","MN",40906,"Aarhus","4099","Denmark",4099,"Denmark",99,"Unknown or Not Elsewhere Classified",4926,"Great Lakes","Other Goods",46.7497344912281,-92.0994718947368,40906,"Aarhus","Denmark",56.161,10.24
"11","Aarhus Denmark",3924,"Duluth-Superior, MN and WI","2012","Import","WI",40906,"Aarhus","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",6294,"Great Lakes","Industrial goods",46.7497344912281,-92.0994718947368,40906,"Aarhus","Denmark",56.161,10.24
"12","Aarhus Denmark",3924,"Duluth-Superior, MN and WI","2012","Import","MN",40906,"Aarhus","4099","Denmark",4099,"Denmark",23,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",19,"Great Lakes","Coal, Oil, and Petrochemicals",46.7497344912281,-92.0994718947368,40906,"Aarhus","Denmark",56.161,10.24
"13","Aarhus Denmark",700,"Baltimore, MD","2012","Import","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",99,"Unknown or Not Elsewhere Classified",0,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
"14","Aarhus Denmark",3924,"Duluth-Superior, MN and WI","2012","Import","MN",40906,"Aarhus","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",6294,"Great Lakes","Industrial goods",46.7497344912281,-92.0994718947368,40906,"Aarhus","Denmark",56.161,10.24
"15","Aarhus Denmark",700,"Baltimore, MD","2012","Import","MD",40906,"Aarhus","4099","Denmark",4099,"Denmark",70,"All Manufactured Equipment, Machinery and Products",528,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,40906,"Aarhus","Denmark",56.161,10.24
